"","Var1","Var2","value","L1"
"1","AL24","fa1",0.182392930905555,"t50"
"2","BE24","fa1",0.284962593600634,"t50"
"3","CL22","fa1",0.151431437202979,"t50"
"4","KS22","fa1",0.162129719178546,"t50"
"5","KS23","fa1",0.19554961300074,"t50"
"6","KS24","fa1",0.0957394330029339,"t50"
"7","LB23","fa1",0.153306915123404,"t50"
"8","LB24","fa1",0.162797893296984,"t50"
"9","MR22","fa1",0.262384994090203,"t50"
"10","OX23","fa1",0.0690365563217788,"t50"
"11","PY22","fa1",0.536099719712853,"t50"
"12","PY23","fa1",0.19756076087509,"t50"
"13","RO24","fa1",0.347439598277291,"t50"
"14","RW22","fa1",0.102877627474476,"t50"
"15","SB22","fa1",0.188883082826389,"t50"
"16","SB23","fa1",0.0746282641353452,"t50"
"17","SB24","fa1",0.292341962970942,"t50"
"18","UN23","fa1",0.284335299945509,"t50"
"19","AL24","fa2",-0.0564991477021688,"t50"
"20","BE24","fa2",0.452598121192681,"t50"
"21","CL22","fa2",-0.0349731041928619,"t50"
"22","KS22","fa2",-0.146179288826919,"t50"
"23","KS23","fa2",0.256259396728382,"t50"
"24","KS24","fa2",-0.059137317314719,"t50"
"25","LB23","fa2",0.25155002297452,"t50"
"26","LB24","fa2",-0.0199804162734137,"t50"
"27","MR22","fa2",0.420530877183606,"t50"
"28","OX23","fa2",0.0738771562272882,"t50"
"29","PY22","fa2",-0.0068805203217939,"t50"
"30","PY23","fa2",0.123385745647013,"t50"
"31","RO24","fa2",-0.0499441287807408,"t50"
"32","RW22","fa2",0.0747680300123927,"t50"
"33","SB22","fa2",-0.201678094886048,"t50"
"34","SB23","fa2",-0.0644995336438021,"t50"
"35","SB24","fa2",-0.420833643582294,"t50"
"36","UN23","fa2",-0.45709215958485,"t50"
"37","AL24","fa3",0.241314097330677,"t50"
"38","BE24","fa3",-0.0634417196028866,"t50"
"39","CL22","fa3",0.0379228916454803,"t50"
"40","KS22","fa3",0.10975338950864,"t50"
"41","KS23","fa3",-0.328579458746869,"t50"
"42","KS24","fa3",0.201191019887013,"t50"
"43","LB23","fa3",0.344684497379016,"t50"
"44","LB24","fa3",0.0456792782672939,"t50"
"45","MR22","fa3",0.375053142300659,"t50"
"46","OX23","fa3",-0.117235181112501,"t50"
"47","PY22","fa3",-0.405666604877079,"t50"
"48","PY23","fa3",0.00523859125409148,"t50"
"49","RO24","fa3",-0.0659656969764525,"t50"
"50","RW22","fa3",0.0276409811529563,"t50"
"51","SB22","fa3",0.0449453738175613,"t50"
"52","SB23","fa3",0.349892749695993,"t50"
"53","SB24","fa3",0.388774095475158,"t50"
"54","UN23","fa3",-0.234978327503561,"t50"
"55","AL24","fa1",0.398804715082861,"raudps"
"56","BE24","fa1",0.122347478328393,"raudps"
"57","CL22","fa1",0.124629559029532,"raudps"
"58","KS22","fa1",0.0465550264546096,"raudps"
"59","KS23","fa1",0.190189377008646,"raudps"
"60","KS24","fa1",0.154174448400683,"raudps"
"61","LB23","fa1",0.246224306635126,"raudps"
"62","LB24","fa1",0.347135326861443,"raudps"
"63","MR22","fa1",0.0901874532613433,"raudps"
"64","OX23","fa1",0.278195586890818,"raudps"
"65","PY22","fa1",0.187808539688053,"raudps"
"66","PY23","fa1",0.156958049227285,"raudps"
"67","RO24","fa1",0.153688268005364,"raudps"
"68","RW22","fa1",0.072181653369827,"raudps"
"69","SB22","fa1",0.203618398082686,"raudps"
"70","SB23","fa1",0.499243550218791,"raudps"
"71","SB24","fa1",0.201516588497806,"raudps"
"72","UN23","fa1",0.248267334734034,"raudps"
"73","AL24","fa2",0.374487122557457,"raudps"
"74","BE24","fa2",-0.00771687409122088,"raudps"
"75","CL22","fa2",-0.194200461281227,"raudps"
"76","KS22","fa2",0.103508468166707,"raudps"
"77","KS23","fa2",0.136860129826485,"raudps"
"78","KS24","fa2",0.224758266056657,"raudps"
"79","LB23","fa2",-0.0776939997482576,"raudps"
"80","LB24","fa2",0.283510152543782,"raudps"
"81","MR22","fa2",-0.324911959191759,"raudps"
"82","OX23","fa2",-0.014359738105759,"raudps"
"83","PY22","fa2",0.0760966493183232,"raudps"
"84","PY23","fa2",-0.0885007500292083,"raudps"
"85","RO24","fa2",0.060784260233449,"raudps"
"86","RW22","fa2",-0.438140091881086,"raudps"
"87","SB22","fa2",-0.260384627958072,"raudps"
"88","SB23","fa2",-0.468958773292488,"raudps"
"89","SB24","fa2",0.132874745523176,"raudps"
"90","UN23","fa2",0.187547245337638,"raudps"
"91","AL24","fa3",-0.062565626790266,"raudps"
"92","BE24","fa3",-0.359988711583078,"raudps"
"93","CL22","fa3",-0.456156401452042,"raudps"
"94","KS22","fa3",0.0736101711370371,"raudps"
"95","KS23","fa3",-0.10208422921429,"raudps"
"96","KS24","fa3",-0.0587347675956636,"raudps"
"97","LB23","fa3",-0.0641742641231194,"raudps"
"98","LB24","fa3",-0.134474146830563,"raudps"
"99","MR22","fa3",-0.0699997943793392,"raudps"
"100","OX23","fa3",-0.32125375533192,"raudps"
"101","PY22","fa3",0.115514512939834,"raudps"
"102","PY23","fa3",-0.208609304035587,"raudps"
"103","RO24","fa3",0.048792195633725,"raudps"
"104","RW22","fa3",0.109455181489949,"raudps"
"105","SB22","fa3",0.348258916704239,"raudps"
"106","SB23","fa3",0.125314089190078,"raudps"
"107","SB24","fa3",0.246107636094907,"raudps"
"108","UN23","fa3",0.489939369974259,"raudps"
"109","AL24","fa1",0.0912221761572644,"omega"
"110","BE24","fa1",-0.657620737769261,"omega"
"111","CL22","fa1",-0.0790294656150676,"omega"
"112","KS22","fa1",0.0245843918017856,"omega"
"113","KS23","fa1",-0.0104972296361747,"omega"
"114","KS24","fa1",-0.119980497847861,"omega"
"115","LB23","fa1",0.0158935872418705,"omega"
"116","LB24","fa1",0.170123848262719,"omega"
"117","MR22","fa1",-0.184937544532644,"omega"
"118","OX23","fa1",-0.0856867658576322,"omega"
"119","PY22","fa1",-0.388127639751595,"omega"
"120","PY23","fa1",-0.134751881705618,"omega"
"121","RO24","fa1",-0.443035048600932,"omega"
"122","RW22","fa1",-0.221848654099556,"omega"
"123","SB22","fa1",-0.0271731124925654,"omega"
"124","SB23","fa1",-0.005861848708719,"omega"
"125","SB24","fa1",-0.221647196706975,"omega"
"126","UN23","fa1",-0.0540447888472684,"omega"
"127","AL24","fa2",0.0236974091305737,"omega"
"128","BE24","fa2",-0.427085227665582,"omega"
"129","CL22","fa2",-0.0341554862904789,"omega"
"130","KS22","fa2",-0.0364529425728015,"omega"
"131","KS23","fa2",0.311376071283981,"omega"
"132","KS24","fa2",0.161884616533803,"omega"
"133","LB23","fa2",-0.183600256798618,"omega"
"134","LB24","fa2",0.376219223441595,"omega"
"135","MR22","fa2",-0.219000018502257,"omega"
"136","OX23","fa2",0.261139081154393,"omega"
"137","PY22","fa2",0.280321563555112,"omega"
"138","PY23","fa2",0.0770962886420048,"omega"
"139","RO24","fa2",0.518794931473741,"omega"
"140","RW22","fa2",-0.0667430327839314,"omega"
"141","SB22","fa2",0.1178507820065,"omega"
"142","SB23","fa2",-0.10821511483713,"omega"
"143","SB24","fa2",0.0491985558340474,"omega"
"144","UN23","fa2",-0.117593826168148,"omega"
"145","AL24","fa3",0.267096867707521,"omega"
"146","BE24","fa3",0.0733404593373363,"omega"
"147","CL22","fa3",0.282037243738386,"omega"
"148","KS22","fa3",-0.201985313056848,"omega"
"149","KS23","fa3",0.117913995204126,"omega"
"150","KS24","fa3",-0.160386960641151,"omega"
"151","LB23","fa3",0.662877955835276,"omega"
"152","LB24","fa3",-0.0573627356955678,"omega"
"153","MR22","fa3",-0.135738799670921,"omega"
"154","OX23","fa3",0.182643165131587,"omega"
"155","PY22","fa3",0.181779222828435,"omega"
"156","PY23","fa3",0.215933270738108,"omega"
"157","RO24","fa3",0.00728147805631937,"omega"
"158","RW22","fa3",-0.3756499547237,"omega"
"159","SB22","fa3",0.00480957145911339,"omega"
"160","SB23","fa3",0.109777734903537,"omega"
"161","SB24","fa3",-0.182058883614466,"omega"
"162","UN23","fa3",-0.0526495224516808,"omega"
"163","AL24","fa1",0.383346837201275,"sev"
"164","BE24","fa1",0.0950508259151499,"sev"
"165","CL22","fa1",0.0656674001506584,"sev"
"166","KS22","fa1",0.0370182979714091,"sev"
"167","KS23","fa1",0.177935968094938,"sev"
"168","KS24","fa1",0.163714128552373,"sev"
"169","LB23","fa1",0.26982465479959,"sev"
"170","LB24","fa1",0.422124417281304,"sev"
"171","MR22","fa1",0.05916352603028,"sev"
"172","OX23","fa1",0.195346814136147,"sev"
"173","PY22","fa1",0.100564288005966,"sev"
"174","PY23","fa1",0.174280364095804,"sev"
"175","RO24","fa1",0.113989706752157,"sev"
"176","RW22","fa1",0.0374612462667633,"sev"
"177","SB22","fa1",0.193484146426194,"sev"
"178","SB23","fa1",0.497724488661259,"sev"
"179","SB24","fa1",0.27957844953288,"sev"
"180","UN23","fa1",0.2626702825067,"sev"
"181","AL24","fa2",0.256014184624287,"sev"
"182","BE24","fa2",0.0431186614571875,"sev"
"183","CL22","fa2",0.156741292022967,"sev"
"184","KS22","fa2",0.0925375012282332,"sev"
"185","KS23","fa2",0.196841289057049,"sev"
"186","KS24","fa2",0.135119304806433,"sev"
"187","LB23","fa2",-0.29535161681685,"sev"
"188","LB24","fa2",0.319782164001362,"sev"
"189","MR22","fa2",-0.0169258437484883,"sev"
"190","OX23","fa2",0.0150051473355845,"sev"
"191","PY22","fa2",0.121394213909702,"sev"
"192","PY23","fa2",-0.385335459514836,"sev"
"193","RO24","fa2",0.185898872762907,"sev"
"194","RW22","fa2",-0.346815247673569,"sev"
"195","SB22","fa2",-0.194592724939732,"sev"
"196","SB23","fa2",-0.218953297669028,"sev"
"197","SB24","fa2",-0.405165504645803,"sev"
"198","UN23","fa2",0.290573206914623,"sev"
"199","AL24","fa3",-0.0948295896467003,"sev"
"200","BE24","fa3",0.318103701081645,"sev"
"201","CL22","fa3",0.354561471864235,"sev"
"202","KS22","fa3",-0.0343050843843155,"sev"
"203","KS23","fa3",0.151607994777284,"sev"
"204","KS24","fa3",0.0656290060468188,"sev"
"205","LB23","fa3",-0.0113764553128371,"sev"
"206","LB24","fa3",0.0560851776101361,"sev"
"207","MR22","fa3",0.193298148909592,"sev"
"208","OX23","fa3",0.371673712662099,"sev"
"209","PY22","fa3",0.0208528097039999,"sev"
"210","PY23","fa3",0.134218125263874,"sev"
"211","RO24","fa3",0.0434140968106303,"sev"
"212","RW22","fa3",0.106292009814946,"sev"
"213","SB22","fa3",-0.0180184509443151,"sev"
"214","SB23","fa3",0.156177839678313,"sev"
"215","SB24","fa3",-0.419637473781258,"sev"
"216","UN23","fa3",-0.569570146803361,"sev"
